Calib;Node;Prior
ROOT;71;B(5.7400,6.0900,1e-300,0.0250)
HETEROSCLEROMORPHA;75;L(5.1500,0.5000,0.5000,1e-300)
THETHYA;83;L(0.3780,0.1000,0.5000,1e-300)
POECILOSCLERIDA;88;L(1.9900,0.1000,0.5000,1e-300)
PHORBAS;94;L(0.3780,0.1000,0.5000,1e-300)
ASTROPHORINA;103;L(1.9900,0.1000,0.5000,1e-300)
GEODIA;105;L(1.6300,0.1000,0.5000,1e-300)
SPONGILLIDA;112;L(2.9800,0.1000,0.5000,1e-300)
HEXACTINELLIDA;128;L(4.4500,0.1000,0.5000,1e-300)
EUMETAZOA;135;B(5.6100,5.7310,0.0250,1e-300)
BILATERIA;138;L(5.3200,0.1000,0.1000,1e-300)
CNIDARIA;139;L(5.3180,0.1000,0.1000,1e-300)
